,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
root_shell,125972.0,0.0,169.0,0.0013415679674848378,0.0,0.036602988927162405,0.0013397787984019735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
su_attempted,125972.0,0.0,139.0,0.0011034198075762869,0.0,0.04515456293180021,0.0020389345535619056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_root,125972.0,0.0,38068.0,0.30219413837995746,0.0,24.399714919961152,595.3460881753748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.0
num_file_creations,125972.0,0.0,1596.0,0.012669482107134918,0.0,0.48393698889507164,0.23419500922082867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
num_shells,125972.0,0.0,52.0,0.0004127901438414886,0.0,0.022181216688643847,0.0004920063737885724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_access_files,125972.0,0.0,516.0,0.004096148350427079,0.0,0.09936994949410932,0.009874386862461837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
num_outbound_cmds,125972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_host_login,125972.0,0.0,1.0,7.938271996951703e-06,0.0,0.002817493921369078,7.938271996951705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
is_guest_login,125972.0,0.0,1187.0,0.009422728860381672,0.0,0.09661270691351313,0.009334015137156388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
count,125972.0,0.0,10595279.0,84.10820658559045,14.0,114.50882817273762,13112.27172949355,0.0,1.0,1.0,1.0,2.0,14.0,143.0,256.0,286.0,511.0,511.0
srv_count,125972.0,0.0,3494223.0,27.738092592004573,8.0,72.63609175151846,5276.001824935008,0.0,1.0,1.0,1.0,2.0,8.0,18.0,40.0,158.0,492.0,511.0
serror_rate,125972.0,0.0,35837.369999999995,0.284486790715397,0.0,0.4464566768685582,0.1993235643205162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
srv_serror_rate,125972.0,0.0,35585.53,0.28248761629568475,0.0,0.44702356412820327,0.19983006688588184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
rerror_rate,125972.0,0.0,15111.53,0.11995943543009559,0.0,0.3204366143621179,0.10267962382385667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
srv_rerror_rate,125972.0,0.0,15265.82,0.12118423141650525,0.0,0.3236483325125607,0.10474824313816107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
same_srv_rate,125972.0,0.0,83258.04,0.6609249674530847,1.0,0.43962356931983704,0.19326888270151354,0.0,0.0,0.01,0.03,0.09,1.0,1.0,1.0,1.0,1.0,1.0
diff_srv_rate,125972.0,0.0,7942.93,0.0630531387927476,0.0,0.18031503569127824,0.032513512096346946,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.29,1.0,1.0
srv_diff_host_rate,125972.0,0.0,12259.900000000001,0.09732242085542821,0.0,0.2598313847427004,0.0675123484973092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,1.0,1.0
dst_host_count,125972.0,0.0,22945699.0,182.1491998221827,255.0,99.20656544796107,9841.942627980583,0.0,1.0,3.0,11.0,82.0,255.0,255.0,255.0,255.0,255.0,255.0
dst_host_srv_count,125972.0,0.0,14569131.0,115.65372463722098,63.0,110.7028855268187,12255.128863963926,0.0,1.0,1.0,2.0,10.0,63.0,255.0,255.0,255.0,255.0,255.0
dst_host_same_srv_rate,125972.0,0.0,65662.20999999999,0.521244482900962,0.51,0.4489500549414097,0.2015561518318948,0.0,0.0,0.0,0.01,0.05,0.51,1.0,1.0,1.0,1.0,1.0
dst_host_diff_srv_rate,125972.0,0.0,10449.57,0.08295152891118661,0.02,0.1889224908580769,0.035691707552020155,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.56,1.0,1.0
dst_host_same_src_port_rate,125972.0,0.0,18691.559999999998,0.14837868732734258,0.0,0.30899835082704896,0.09547998081383602,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.84,1.0,1.0,1.0
dst_host_srv_diff_host_rate,125972.0,0.0,4099.47,0.032542707903343605,0.0,0.11256421432243861,0.012670702346027895,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.18,0.52,1.0
dst_host_serror_rate,125972.0,0.0,35833.33,0.2844547200965294,0.0,0.44478509367803626,0.1978337795581795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_srv_serror_rate,125972.0,0.0,35081.53,0.2784867272092211,0.0,0.44567020211539266,0.19862192905357495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_rerror_rate,125972.0,0.0,14969.55,0.11883235957196837,0.0,0.30655861345727226,0.09397818348484528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,1.0
dst_host_srv_rerror_rate,125972.0,0.0,15146.98,0.1202408471723875,0.0,0.31946047880893264,0.1020549975208325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
last_flag,125972.0,0.0,2456965.0,19.504056456990444,20.0,2.2915116084141047,5.251025451496598,0.0,11.0,15.0,17.0,18.0,20.0,21.0,21.0,21.0,21.0,21.0
attack_class,125972.0,0.0,72432.0,0.5749849172832058,0.0,0.6941059350313576,0.48178304904575525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
